Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
SKANSEN AUTO AS,994699024,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,6806838,6811247,-4409,"-0,06 %",11953,777,11177,"0,16 %",6768,"0,10 %",6768,"0,10 %",,136762,751434,888196,"0,76 %",288000,312344,"2,17 %","35,17 %",575852,"184,36 %","64,83 %",888196,-291022,866873,"86,68 %",1134473,1
SKAUGS LAKK OG SKADESENTER AS,912896498,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,15000441,13252070,1748371,"11,66 %",5011,,5011,"0,03 %",1753382,"11,69 %",1346209,"8,97 %",1346209,351779,3854609,4206389,"32,00 %",52000,2053145,"65,57 %","48,81 %",2153244,"104,88 %","51,19 %",4206389,0,2153244,"179,01 %",1875055,1
SKAUGS SERVICESENTER AS,859971652,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,7469618,7289973,179645,"2,41 %",51700,,51700,"0,69 %",231345,"3,10 %",207472,"2,78 %",207472,44500,3678894,3723394,"5,57 %",68000,2945727,"7,04 %","79,11 %",777666,"26,40 %","20,89 %",3723394,0,777666,"473,07 %",1493924,0
SKI AUTO AS,979527950,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,14329189,12777998,1551192,"10,83 %",27447,5992,21455,"0,15 %",1572646,"10,98 %",1188152,"8,29 %",,2607619,3162251,5769870,"20,59 %",1100000,3962507,"29,98 %","68,68 %",1807363,"45,61 %","31,32 %",5769870,0,1807363,"174,96 %",1302654,1
SKI AUTO CARE AS,996265250,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,15,11783470,9202171,2581299,"21,91 %",6219,280,5939,"0,05 %",2587239,"21,96 %",2215698,"18,80 %",2215698,2285433,1625798,3911231,"56,65 %",100000,2649272,"83,63 %","67,73 %",1261959,"47,63 %","32,27 %",3911231,28112,1233847,"131,77 %",785565,1
SKI BIL OG LAKK AS,981412435,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,27,43380562,41170698,2209864,"5,09 %",119202,5079,114123,"0,26 %",2323987,"5,36 %",1812515,"4,18 %",1812515,2412141,21665844,24077985,"7,53 %",260000,11761037,"15,41 %","48,85 %",12316948,"104,73 %","51,15 %",24077985,5505000,6811948,"318,06 %",1606687,1
SKI KAROSSERI & AUTOSERVICE AS,980247112,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,26,27579340,27571537,7803,"0,03 %",68530,4645,63886,"0,23 %",71689,"0,26 %",55633,"0,20 %",55633,2514452,8142056,10656508,"0,52 %",100000,6562470,"0,85 %","61,58 %",4094037,"62,39 %","38,42 %",10656508,0,4094037,"198,88 %",1060744,0
SKIDOO SENTERET AS,929546822,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,33,156207906,146591926,9615980,"6,16 %",175715,91606,84109,"0,05 %",9700088,"6,21 %",7564188,"4,84 %",7564188,1448257,103632911,105081168,"7,20 %",1524430,50889435,"14,86 %","48,43 %",54191733,"106,49 %","51,57 %",105081168,0,54191733,"191,23 %",4733573,1
SKIEN AUTOSENTER AS,916689128,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,16779825,16369616,410209,"2,44 %",9347,76552,-67205,"-0,40 %",343004,"2,04 %",343004,"2,04 %",,252429,2895435,3147864,"10,90 %",100000,-2393749,"-14,33 %","-76,04 %",5541613,"-231,50 %","176,04 %",3147864,4014315,1527297,"189,58 %",2397118,1
SKIGUARD AS,967501867,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,8,28690869,26552162,2138707,"7,45 %",256819,178363,78456,"0,27 %",2217164,"7,73 %",1725004,"6,01 %",,2704070,15225808,17929878,"9,62 %",100000,11552921,"14,93 %","64,43 %",6376957,"55,20 %","35,57 %",17929878,346,6376611,"238,78 %",3586359,0
SKIPTVET BILSERVICE AS,918113843,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,11736165,10869488,866677,"7,38 %",21560,2868,18693,"0,16 %",885370,"7,54 %",670243,"5,71 %",,430833,3355396,3786229,"17,70 %",30000,1644499,"40,76 %","43,43 %",2141729,"130,24 %","56,57 %",3786229,0,2141729,"156,67 %",1956028,1
SKJEBERG AUTO AS,982750369,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,8423474,7246095,1177379,"13,98 %",51618,1004,50614,"0,60 %",1227993,"14,58 %",957747,"11,37 %",957747,220274,2887825,3108099,"30,81 %",101525,1310903,"73,06 %","42,18 %",1797195,"137,10 %","57,82 %",3108099,0,1797195,"160,69 %",1684695,1
Skjelvik Bilverksted A/S,947388940,47.300,Detaljhandel med drivstoff til motorvogner,2024,21,39684694,40259766,-575073,"-1,45 %",127103,203050,-75947,"-0,19 %",-651019,"-1,64 %",-494668,"-1,25 %",,3592097,4665555,8257652,"-5,99 %",102000,408457,"-121,11 %","4,95 %",7849194,"1921,67 %","95,05 %",8257651,2277086,5572108,"83,73 %",1889747,0
SKJERVØY BILSERVICE AS,911748169,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,6763663,6940869,-177206,"-2,62 %",4432,11186,-6754,"-0,10 %",-183960,"-2,72 %",-183960,"-2,72 %",,290000,844391,1134391,"-16,22 %",80000,349237,"-52,67 %","30,79 %",785155,"224,82 %","69,21 %",1134391,0,785155,"107,54 %",845458,0
SKJÆRVIK'S SCOOTER & MC AS,989165011,45.403,Vedlikehold og reparasjon av motorsykler,2024,6,15726436,16204645,-478208,"-3,04 %",,3675,-3675,"-0,02 %",-481883,"-3,06 %",-376880,"-2,40 %",-376880,289823,9079763,9369586,"-4,02 %",118000,2524015,"-14,93 %","26,94 %",6845571,"271,22 %","73,06 %",9369586,0,6845571,"132,64 %",2621073,1
SKOG OG FRITID AS,917393907,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,8,9602654,9153527,449126,"4,68 %",11903,3584,8319,"0,09 %",457445,"4,76 %",361716,"3,77 %",361716,285201,4102264,4387465,"8,24 %",30000,3381369,"10,70 %","77,07 %",1006096,"29,75 %","22,93 %",4387465,4645,1001451,"409,63 %",1200332,0
SKOGEN BIL AS,983629547,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,26,56328202,55401657,926545,"1,64 %",87111,870640,-783529,"-1,39 %",143016,"0,25 %",112880,"0,20 %",,8981093,21002652,29983745,"0,38 %",69105,9948945,"1,13 %","33,18 %",20034800,"201,38 %","66,82 %",29983745,9531955,10502845,"199,97 %",2166469,1
SKOGFOSS BILVERKSTED AS,997665678,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,9727925,9986633,-258708,"-2,66 %",1714,4158,-2444,"-0,03 %",-261152,"-2,68 %",-261152,"-2,68 %",,168963,611152,780115,"-33,48 %",100000,-275910,"94,65 %","-35,37 %",1056025,"-382,74 %","135,37 %",780115,0,1056025,"57,87 %",1389704,1
SKOLMAR BIL AS,994191071,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,16725622,14844459,1881163,"11,25 %",81309,1148,80161,"0,48 %",1961324,"11,73 %",1529809,"9,15 %",1529809,1336038,4210903,5546941,"27,58 %",300000,1759929,"86,92 %","31,73 %",3787013,"215,18 %","68,27 %",5546941,0,3787013,"111,19 %",1672562,1
SKOTTERUD MOTORCENTER AS,966812141,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9197365,8842513,354852,"3,86 %",14779,16758,-1979,"-0,02 %",352873,"3,84 %",275095,"2,99 %",275095,734886,1575157,2310043,"11,91 %",100000,884991,"31,08 %","38,31 %",1425052,"161,02 %","61,69 %",2310043,139197,1285855,"122,50 %",1532894,1
SKUDE TRANSPORT OG SPEDISJON AS,945751428,49.410,Godstransport på vei,2024,57,88446073,87006355,1439718,"1,63 %",64736,820432,-755696,"-0,85 %",684022,"0,77 %",517902,"0,59 %",517902,22957083,19155253,42112336,"1,23 %",600000,16213788,"3,19 %","38,50 %",25898548,"159,73 %","61,50 %",42112336,12546704,13351844,"143,47 %",1551685,1
SKURVE AUTO AS,816746922,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,8393767,8361991,31776,"0,38 %",1790,53524,-51734,"-0,62 %",-19958,"-0,24 %",-15567,"-0,19 %",-15567,1064715,1520681,2585396,"-0,60 %",50000,868115,"-1,79 %","33,58 %",1717281,"197,82 %","66,42 %",2585396,706662,1010619,"150,47 %",1199110,1
SKÅLA AUTO AS,920568076,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,10176498,10353197,-176699,"-1,74 %",57890,1499,56391,"0,55 %",-120308,"-1,18 %",-104197,"-1,02 %",,423063,2830053,3253116,"-3,20 %",100000,1885394,"-5,53 %","57,96 %",1367722,"72,54 %","42,04 %",3253116,0,1367722,"206,92 %",2035300,1
SKÅR & GUNDERSEN KAROSSERI AS,934372727,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,27731143,22591259,5139884,"18,53 %",107936,127648,-19711,"-0,07 %",5120172,"18,46 %",3984923,"14,37 %",3984923,2133299,13425410,15558709,"25,61 %",750000,8224174,"48,45 %","52,86 %",7334535,"89,18 %","47,14 %",15558709,1252488,6082047,"220,74 %",2521013,0
SLATLEM BILSENTRUM AS,959116059,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,15,130228788,127172326,3056462,"2,35 %",70416,1002962,-932546,"-0,72 %",2123916,"1,63 %",1656656,"1,27 %",1656656,3017563,23231319,26248882,"6,31 %",3513418,8280301,"20,01 %","31,55 %",17968581,"217,00 %","68,45 %",26248882,0,17968581,"129,29 %",8681919,1
SLATLEM ELVERUM AS,827501182,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,13,62911144,64538407,-1627264,"-2,59 %",18791,898932,-880141,"-1,40 %",-2507405,"-3,99 %",-2507405,"-3,99 %",-2507405,3792157,17085717,20877874,"-12,01 %",986430,-1757770,"142,65 %","-8,42 %",22635644,"-1287,75 %","108,42 %",20877874,11289278,11346365,"150,58 %",4839319,1
SLATLEM GRUPPEN AS,931564285,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,16,20981403,20780166,201237,"0,96 %",14490,11146,3345,"0,02 %",204582,"0,98 %",131432,"0,63 %",131432,1585795,8935167,10520962,"1,25 %",100000,100000,"131,43 %","0,95 %",10420962,"10420,96 %","99,05 %",10520962,4723734,5697228,"156,83 %",1311338,1
SLATLEM KRISTIANSUND AS,999552471,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,29,245539089,254133937,-8594848,"-3,50 %",162567,5671288,-5508721,"-2,24 %",-14103568,"-5,74 %",-11131845,"-4,53 %",-11131845,17732393,73090307,90822700,"-12,26 %",5399111,14063401,"-79,15 %","15,48 %",76759299,"545,81 %","84,52 %",90822700,13012631,63746669,"114,66 %",8466865,1
SLATLEM MOLDE AS,917339791,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,96437056,105537708,-9100652,"-9,44 %",34879,1832646,-1797767,"-1,86 %",-10898419,"-11,30 %",-8504045,"-8,82 %",-8504045,6369155,24755497,31124652,"-27,32 %",6530000,2930310,"-290,21 %","9,41 %",28194342,"962,16 %","90,59 %",31124652,7559651,20634691,"119,97 %",9643706,1
SLATLEM NAMSOS AS,924014121,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,17,123617970,124988574,-1370604,"-1,11 %",65370,934161,-868791,"-0,70 %",-2239395,"-1,81 %",-1748106,"-1,41 %",-1748106,2293013,20364927,22657940,"-7,72 %",594430,1705399,"-102,50 %","7,53 %",20952540,"1228,60 %","92,47 %",22657940,1192247,19760293,"103,06 %",7271645,1
SLATLEM STEINKJER AS,913951387,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,15,108907057,110084003,-1176946,"-1,08 %",85343,935871,-850528,"-0,78 %",-2027474,"-1,86 %",-1582387,"-1,45 %",-1582387,1650655,28717732,30368387,"-5,21 %",3322772,4523296,"-34,98 %","14,89 %",25845091,"571,38 %","85,11 %",30368387,489734,25355358,"113,26 %",7260470,1
SLATLEM TRONDHEIM AS,968787551,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,20,101163897,103429733,-2265836,"-2,24 %",7054,728665,-721611,"-0,71 %",-2987447,"-2,95 %",-2333058,"-2,31 %",-2333058,1800660,16884092,18684752,"-12,49 %",428000,-525869,"443,66 %","-2,81 %",19210620,"-3653,12 %","102,81 %",18684752,2405049,16805571,"100,47 %",5058195,1
SLATLEM VERDAL AS,935253128,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,18,88628212,91053956,-2425744,"-2,74 %",96001,792019,-696018,"-0,79 %",-3121762,"-3,52 %",-2435180,"-2,75 %",-2435180,5989552,20463071,26452624,"-9,21 %",7139876,10927457,"-22,28 %","41,31 %",15525167,"142,07 %","58,69 %",26452624,0,15525167,"131,81 %",4923790,1
SLEMMESTAD KAROSSERI OG LAKK AS,916846606,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,17463367,16829070,634297,"3,63 %",32655,2271,30384,"0,17 %",664681,"3,81 %",506679,"2,90 %",,588166,3733862,4322028,"11,72 %",30000,2358593,"21,48 %","54,57 %",1963435,"83,25 %","45,43 %",4322028,0,1963435,"190,17 %",2182921,0
SLITU KAROSSERIVERKSTED AS,989136143,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,20,32864988,24367816,8497172,"25,85 %",653187,6515,646672,"1,97 %",9143843,"27,82 %",7142021,"21,73 %",,3685442,18512312,22197754,"32,17 %",100000,15947854,"44,78 %","71,84 %",6249900,"39,19 %","28,16 %",22197754,0,6249900,"296,20 %",1643249,1
SLÅTTA BIL AS,934215001,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,12663107,11516786,1146321,"9,05 %",80857,9162,71695,"0,57 %",1218016,"9,62 %",949182,"7,50 %",949182,1446592,9604352,11050944,"8,59 %",7429056,8047050,"11,80 %","72,82 %",3003894,"37,33 %","27,18 %",11050944,0,3003894,"319,73 %",1266311,0
SMART DEKK AS,916682530,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9688270,9675636,12634,"0,13 %",5837,64671,-58834,"-0,61 %",-46200,"-0,48 %",-46200,"-0,48 %",-46200,889000,1819877,2708877,"-1,71 %",213220,340270,"-13,58 %","12,56 %",2368607,"696,10 %","87,44 %",2708877,582604,1786004,"101,90 %",1614712,0
SMART REPAIR BILPLEIE AS,999504531,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,8604989,8028215,576774,"6,70 %",7804,13863,-6060,"-0,07 %",570714,"6,63 %",525426,"6,11 %",,326885,2584212,2911097,"18,05 %",215000,1787228,"29,40 %","61,39 %",1123868,"62,88 %","38,61 %",2911097,0,1123868,"229,94 %",1434165,1
SMART REPAIR TROMSØ AS,913904737,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,12965952,12563404,402548,"3,10 %",18541,109278,-90737,"-0,70 %",311811,"2,40 %",201151,"1,55 %",,2262498,2241643,4504141,"4,47 %",24334,2196694,"9,16 %","48,77 %",2307447,"105,04 %","51,23 %",4504141,900326,1407121,"159,31 %",1440661,1
SMARTREPAIR AS,918450912,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,7971022,8021498,-50476,"-0,63 %",1967,567,1400,"0,02 %",-49077,"-0,62 %",-49077,"-0,62 %",,114000,1299888,1413888,"-3,47 %",22000,41694,"-117,71 %","2,95 %",1372193,"3291,10 %","97,05 %",1413887,0,1372193,"94,73 %",996378,1
SMØLA BILSERVICE AS,958717768,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,26537604,24389400,2148204,"8,09 %",587608,3541,584067,"2,20 %",2732270,"10,30 %",2120583,"7,99 %",2120583,1462057,19066215,20528273,"10,33 %",1100000,15808000,"13,41 %","77,01 %",4720273,"29,86 %","22,99 %",20528273,0,4720273,"403,92 %",2948623,1
SNAP DRIVE AS,971585188,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,268,439178000,407215000,31963000,"7,28 %",2899000,1458000,1441000,"0,33 %",33404000,"7,61 %",25057000,"5,71 %",25057000,122566000,28670000,151236000,"16,57 %",29604000,32308000,"77,56 %","21,36 %",118928000,"368,11 %","78,64 %",151236000,741000,118187000,"24,26 %",1638724,1
SNERTINGDAL BIL OG BILPLEIE AS,912470334,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,6796031,6732012,64018,"0,94 %",3780,123602,-119822,"-1,76 %",-55804,"-0,82 %",-44260,"-0,65 %",-44260,716026,1463141,2179167,"-2,03 %",1606197,-385818,"11,47 %","-17,70 %",2564985,"-664,82 %","117,70 %",2179167,395385,2169600,"67,44 %",1359206,0
SOFIEMYR BIL AS,977345618,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,8921658,9179062,-257405,"-2,89 %",4378,63277,-58899,"-0,66 %",-316303,"-3,55 %",-316303,"-3,55 %",-316303,526172,1333420,1859592,"-17,01 %",150000,470464,"-67,23 %","25,30 %",1389127,"295,27 %","74,70 %",1859592,398166,990961,"134,56 %",1486943,1
SOGN BIL & BÅT AS,919486791,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5287105,5026201,260904,"4,93 %",25813,535586,-509773,"-9,64 %",-248869,"-4,71 %",-248869,"-4,71 %",,129536,8328485,8458022,"-2,94 %",30000,495582,"-50,22 %","5,86 %",7962439,"1606,68 %","94,14 %",8458022,4343174,3619265,"230,12 %",1057421,0
SOLA AUTO AS,995926628,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,15,15386638,14327644,1058994,"6,88 %",24597,3751,20847,"0,14 %",1079841,"7,02 %",837349,"5,44 %",837349,396788,2493479,2890266,"28,97 %",100000,357891,"233,97 %","12,38 %",2532375,"707,58 %","87,62 %",2890266,0,2532375,"98,46 %",1025776,1
SOLA BOBIL AS,991883754,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,27,146897194,139772026,7125168,"4,85 %",863302,3600881,-2737579,"-1,86 %",4387589,"2,99 %",3422319,"2,33 %",3422319,6474889,78716174,85191063,"4,02 %",100125,27439775,"12,47 %","32,21 %",57751289,"210,47 %","67,79 %",85191063,3680106,54071183,"145,58 %",5440637,1
SOLARIS NORGE AS,889573732,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",2024,21,71842897,67342682,4500215,"6,26 %",4771777,11133316,-6361539,"-8,85 %",-1861324,"-2,59 %",-1861324,"-2,59 %",,616957,64369216,64986173,"-2,86 %",55500000,26080426,"-7,14 %","40,13 %",38905747,"149,18 %","59,87 %",64986173,26291724,12614023,"510,30 %",3421090,1
SOLBERG BIL AS,928103277,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,74,527959401,521075508,6883893,"1,30 %",574947,6536393,-5961446,"-1,13 %",922447,"0,17 %",974084,"0,18 %",,7591575,156972802,164564377,"0,59 %",1580000,29546626,"3,30 %","17,95 %",135017751,"456,97 %","82,05 %",164564377,36648427,98472270,"159,41 %",7134587,1
SOLBERG MEK VERKSTED AS,957838499,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,24,113647734,108487524,5160210,"4,54 %",1165229,569901,595328,"0,52 %",5755538,"5,06 %",4395757,"3,87 %",4395757,8166866,66710633,74877499,"5,87 %",100000,43719241,"10,05 %","58,39 %",31158258,"71,27 %","41,61 %",74877499,400000,30758258,"216,89 %",4735322,1
SOLGÅRDS AUTO AS,999003001,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,11828114,10785968,1042146,"8,81 %",1335,5096,-3761,"-0,03 %",1038384,"8,78 %",805141,"6,81 %",,541118,3172495,3713613,"21,68 %",30000,292197,"275,55 %","7,87 %",3421416,"1170,93 %","92,13 %",3713613,0,3421416,"92,72 %",1478514,1
SOLSIDEN BILVASK AS,995475731,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4094040,3455488,638552,"15,60 %",44716,201181,-156465,"-3,82 %",482087,"11,78 %",386814,"9,45 %",,4890893,2068852,6959745,"5,56 %",110000,3530590,"10,96 %","50,73 %",3429155,"97,13 %","49,27 %",6959745,2570306,858849,"240,89 %",682340,0
SOMMERSETH AS,921368909,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,45,244762132,243401115,1361017,"0,56 %",287496,1830209,-1542713,"-0,63 %",-181696,"-0,07 %",-178496,"-0,07 %",,9257527,94227617,103485143,"-0,17 %",3722716,21077144,"-0,85 %","20,37 %",82407999,"390,98 %","79,63 %",103485143,10201148,72206852,"130,50 %",5439158,1
SORTLAND AUTO AS,975931226,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,29,119243303,116081977,3161326,"2,65 %",202672,856041,-653369,"-0,55 %",2507957,"2,10 %",1956206,"1,64 %",1956206,25792844,33625097,59417941,"3,29 %",2000000,24847675,"7,87 %","41,82 %",34570266,"139,13 %","58,18 %",59417941,16916091,17654175,"190,47 %",4111838,1
SORTLAND BIL AS,991772103,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,13660364,13298267,362096,"2,65 %",391,218650,-218259,"-1,60 %",143837,"1,05 %",112193,"0,82 %",,3099740,1873409,4973149,"2,26 %",917577,871828,"12,87 %","17,53 %",4101321,"470,43 %","82,47 %",4973149,1200000,2901321,"64,57 %",1366036,0
SORTLAND CARAVAN AS,935447402,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,20,125195390,122317799,2877591,"2,30 %",11485,2904648,-2893163,"-2,31 %",-15571,"-0,01 %",-13252,"-0,01 %",-13252,2399093,64631862,67030955,"-0,02 %",3000000,7105638,"-0,19 %","10,60 %",59925317,"843,35 %","89,40 %",67030955,15195080,44730238,"144,49 %",6259770,0
SOS BILOPPRETTING AS,953814234,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,17,30022336,26133859,3888478,"12,95 %",2680,12992,-10312,"-0,03 %",3878165,"12,92 %",3084315,"10,27 %",3084315,1306024,8521576,9827600,"31,38 %",800000,3173851,"97,18 %","32,30 %",6653749,"209,64 %","67,70 %",9827600,1219,6652530,"128,10 %",1766020,1
SPARE AS,986757554,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,5,5376288,5186827,189461,"3,52 %",7627,75289,-67662,"-1,26 %",121800,"2,27 %",113295,"2,11 %",,24026,2241484,2265510,"5,00 %",177900,779587,"14,53 %","34,41 %",1485923,"190,60 %","65,59 %",2265510,210653,1275270,"175,77 %",1075258,1
SPARE PARTS SERVICE AS,986219080,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr",2024,11,52930982,49231479,3699503,"6,99 %",107615,285078,-177463,"-0,34 %",3522040,"6,65 %",2747191,"5,19 %",2747191,2610790,31109709,33720499,"8,15 %",129000,26776401,"10,26 %","79,41 %",6944097,"25,93 %","20,59 %",33720499,0,6944097,"448,00 %",4811907,1
SPEED MOTORCENTER AS,928949214,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,28,123068013,122458756,609257,"0,50 %",252701,107547,145153,"0,12 %",754411,"0,61 %",576602,"0,47 %",576602,2516075,32547118,35063193,"1,64 %",1500000,13895435,"4,15 %","39,63 %",21167758,"152,34 %","60,37 %",35063193,3250003,17917755,"181,65 %",4395286,1
SPESIAL LAKKERING AS,958243391,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,21874734,19813475,2061259,"9,42 %",3959,71661,-67702,"-0,31 %",1993557,"9,11 %",1553886,"7,10 %",1553886,2590001,4367184,6957184,"22,33 %",112000,3874503,"40,11 %","55,69 %",3082682,"79,56 %","44,31 %",6957184,796870,2285812,"191,06 %",2430526,1
SPESIALFELGER AS,930852368,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,51523773,50675799,847974,"1,65 %",534131,2094,532037,"1,03 %",1380011,"2,68 %",1073422,"2,08 %",,372240,26909062,27281302,"3,93 %",10244839,16954980,"6,33 %","62,15 %",10326322,"60,90 %","37,85 %",27281302,0,10326322,"260,59 %",8587296,1
SPINNIN WHEEL AS,863365562,45.403,Vedlikehold og reparasjon av motorsykler,2024,17,22352055,25818208,-3466153,"-15,51 %",11790,120982,-109191,"-0,49 %",-3575344,"-16,00 %",-3572181,"-15,98 %",-3572181,376279,7104441,7480720,"-47,75 %",1663470,462572,"-772,24 %","6,18 %",7018149,"1517,20 %","93,82 %",7480720,3240697,3777451,"188,08 %",1314827,1
SPORSTØL BILVERKSTED AS,919861770,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,14423861,14383854,40007,"0,28 %",9024,18795,-9772,"-0,07 %",30236,"0,21 %",23578,"0,16 %",,918800,2695656,3614456,"0,65 %",981030,1523045,"1,55 %","42,14 %",2091411,"137,32 %","57,86 %",3614456,254911,1836500,"146,78 %",1802983,1
SPORTWAGEN AS,989147218,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,134796280,130228599,4567681,"3,39 %",124672,1918389,-1793716,"-1,33 %",2773964,"2,06 %",2164279,"1,61 %",2164279,886302,54825176,55711479,"3,88 %",140000,18557557,"11,66 %","33,31 %",37153922,"200,21 %","66,69 %",55711479,2502000,34651922,"158,22 %",19256611,1
SPOT-ON AS,998613078,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,25409020,26096287,-687267,"-2,70 %",1638,56502,-54865,"-0,22 %",-742132,"-2,92 %",-742132,"-2,92 %",-742132,424153,2522189,2946343,"-25,19 %",39000,1267379,"-58,56 %","43,02 %",1678964,"132,48 %","56,98 %",2946343,213305,1465659,"172,09 %",4234837,0
SPRINTCAR NORGE AS,916149816,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",2024,5,23571224,22273517,1297707,"5,51 %",3702,67142,-63440,"-0,27 %",1234267,"5,24 %",959401,"4,07 %",959401,2093800,5102990,7196790,"13,33 %",30000,2992878,"32,06 %","41,59 %",4203912,"140,46 %","58,41 %",7196790,1461005,2742906,"186,04 %",4714245,1
SPZ BILSKADE AS,930634530,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,11965487,10795069,1170418,"9,78 %",950,20962,-20012,"-0,17 %",1150406,"9,61 %",1010150,"8,44 %",1010150,349574,2571841,2921415,"34,58 %",200000,723904,"139,54 %","24,78 %",2197511,"303,56 %","75,22 %",2921415,0,2197511,"117,03 %",1709355,0
