organisasjonsnummer,navn,antall_ansatte,regnskapsaar,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,nettofinans,ordinaert_resultat_foer_skatt,aarsresultat,totalresultat,sum_anleggsmidler,sum_omloepsmidler,sum_eiendeler,innskutt_egenkapital,sum_egenkapital,sum_gjeld,sum_egenkapital_gjeld,sum_langsiktig_gjeld,sum_kortsiktig_gjeld
966043644,CROSS CENTERET SNELLINGEN AS,13,2025,40333507.0,40205713.0,127794.0,15541.0,116622.0,-101081.0,26713.0,5284.0,,93239.0,11359400.0,11452639.0,500000.0,6559418.0,4893221.0,11452639.0,0.0,4893221.0
996288897,DEKKSERVICE KVINESDAL AS,6,2025,13678122.0,12029579.0,1648543.0,11810.0,42611.0,-30801.0,1617742.0,1261576.0,,426968.0,6280309.0,6707277.0,300000.0,3951182.0,2756095.0,6707277.0,469534.0,2286561.0
913856651,EKELUND BILSERVICE AS,5,2025,8134186.0,7125040.0,1009146.0,4866.0,336.0,4530.0,1013676.0,799285.0,,152514.0,2433611.0,2586125.0,40000.0,670888.0,1915236.0,2586125.0,,1915236.0
979943911,ELVERUM CARAVANSENTER AS,26,2025,119111920.0,116096059.0,3015861.0,11998.0,2578798.0,-2566800.0,449061.0,350267.0,,4845492.0,33813752.0,38659244.0,12100000.0,2345891.0,36313353.0,38659244.0,25053898.0,11259455.0
916543859,ELVERUM SPORT BILSALG AS,37,2025,230569482.0,228497925.0,2071556.0,68194.0,276105.0,-207911.0,1863645.0,1450778.0,1450778.0,5999704.0,56436226.0,62435929.0,2072698.0,9172388.0,53263542.0,62435929.0,1385064.0,51878478.0
913355733,GJERMUNDSEN BILSENTER AS,25,2025,107875938.0,107252639.0,623299.0,163384.0,441980.0,-278595.0,344704.0,268869.0,268869.0,5430546.0,17484062.0,22914608.0,125000.0,8494649.0,14419959.0,22914608.0,5970717.0,8449242.0
981226062,GT LAKK & KARROSERI AS,12,2025,14842755.0,13621517.0,1221238.0,148970.0,6833.0,142136.0,1363374.0,1062201.0,1062201.0,864491.0,7234428.0,8098919.0,100000.0,5142779.0,2956141.0,8098919.0,,2956141.0
959489513,HAUGSVÆR AUTO AS,12,2025,12041867.0,11403609.0,638258.0,11423.0,18963.0,-7540.0,630718.0,498096.0,498096.0,1454810.0,4706327.0,6161137.0,116000.0,4449240.0,1711897.0,6161137.0,165048.0,1546849.0
885785492,HELLESTØ KAROSSERI AS,30,2025,68599446.0,57332136.0,11267310.0,53148.0,1368518.0,-1315370.0,9951941.0,7762231.0,7762231.0,10606821.0,10466885.0,21073706.0,200000.0,2629204.0,18444503.0,21073706.0,232137.0,18212366.0
984020163,HOLMESTRAND SERVICESENTER AS,8,2025,12623951.0,12255907.0,368044.0,1744.0,8650.0,-6906.0,361138.0,281125.0,,207207.0,2632404.0,2839611.0,100000.0,1231064.0,1608546.0,2839611.0,,1608546.0
843011322,HÅKON CAMPING AS,17,2025,59375035.0,58561868.0,813167.0,163472.0,1997173.0,-1833701.0,-1020534.0,-1020534.0,-1020534.0,4993000.0,33074194.0,38067194.0,460000.0,3489824.0,34577370.0,38067194.0,19696119.0,14881251.0
924769866,JÆREN DEKK AS,7,2025,15060996.0,13883824.0,1177173.0,22588.0,10359.0,12229.0,1189401.0,927733.0,927733.0,47289.0,5839502.0,5886791.0,230000.0,2112567.0,3774224.0,5886791.0,,3774224.0
