organisasjonsnummer,navn,naeringskode,naeringsbeskrivelse,organisasjonsform,kommunenavn,postnummer,poststed,konkurs,under_avvikling,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld
928102378,SULLAND BIL AS,47.810,Detaljhandel med motorvogner,AS,HAMAR,2321,HAMAR,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,128660390.0,125114952.0,3545439.0,12393.0,1125449.0,2432383.0,1897259.0,45549127.0,1707830.0,43841297.0,7804631.0,37744496.0,37744496.0,0.0
911010992,SULLAND BIL DRAMMEN AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,DRAMMEN,3027,DRAMMEN,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,132585609.0,134019397.0,-1433788.0,211760.0,1140433.0,-2362461.0,-1844224.0,45573671.0,1300687.0,44272984.0,28355285.0,17218386.0,17218386.0,0.0
934952472,SULLAND BILSENTER ALTA AS,47.810,Detaljhandel med motorvogner,AS,ALTA,9515,ALTA,False,False,,,,,,,,,,,,,,,,,,,
995379198,SULLAND BILSENTER LILLEHAMMER AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,LILLEHAMMER,2619,LILLEHAMMER,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,131822085.0,125989450.0,5832635.0,245648.0,759672.0,5318612.0,4148407.0,36167740.0,1520164.0,34647577.0,9804919.0,26362822.0,26362822.0,0.0
958040202,SULLAND BODØ AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,BODØ,8008,BODØ,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,348973092.0,338071023.0,10902068.0,1326365.0,1989716.0,10238717.0,8135579.0,81824984.0,5419867.0,76405117.0,31938955.0,49886029.0,49886029.0,0.0
983222870,SULLAND DRAMMEN AS,47.810,Detaljhandel med motorvogner,AS,DRAMMEN,3027,DRAMMEN,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,804803545.0,780109273.0,24694271.0,637056.0,853280.0,24478048.0,19086616.0,131849181.0,14255821.0,117593361.0,50274909.0,81574272.0,81574272.0,0.0
963666543,SULLAND ELVERUM AS,47.810,Detaljhandel med motorvogner,AS,ELVERUM,2406,ELVERUM,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,166120690.0,165963193.0,157497.0,65672.0,2144488.0,-1921319.0,-1501817.0,48427846.0,3873103.0,44554744.0,12416954.0,36010892.0,36010892.0,0.0
977293227,SULLAND GJØVIK AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,GJØVIK,2816,GJØVIK,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,143760508.0,142378909.0,1381598.0,43097.0,1015217.0,409479.0,319394.0,36881472.0,5302636.0,31578836.0,8350027.0,28531445.0,28531445.0,0.0
951773778,SULLAND HAMAR AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,HAMAR,2321,HAMAR,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,173573164.0,167337574.0,6235590.0,295593.0,1140068.0,5391115.0,4209294.0,49953678.0,1053223.0,48900455.0,13678103.0,36275576.0,36275576.0,0.0
943604770,SULLAND HARSTAD AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,HARSTAD,9403,HARSTAD,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,220002495.0,213782122.0,6220372.0,160400.0,1500652.0,4880120.0,3806493.0,58533420.0,3284108.0,55249312.0,16224657.0,42308763.0,42308763.0,0.0
987586087,SULLAND INDRE ØSTFOLD AS,47.810,Detaljhandel med motorvogner,AS,INDRE ØSTFOLD,1850,MYSEN,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,231773453.0,212475640.0,19297813.0,1013945.0,1056139.0,19255619.0,15002800.0,80260662.0,4614527.0,75646134.0,25428827.0,54831834.0,54831834.0,0.0
