Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
VT DEKK OG BILGLASS AS,967659940,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,16766074,14692457,2073617,"12,37 %",125386,2466,"0,73 %",122920,2196537,"13,10 %",1708485,"10,19 %",1708485,3045474,12354923,"127,86 %",15400396,"11,09 %",,5731201,"37,21 %","29,81 %",9669196,"62,79 %","168,71 %",15400396,0,9663020,2095759
VUKU AUTO AS,832140562,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,14569379,12981074,1588305,"10,90 %",9452,167706,"-1,09 %",-158254,1430052,"9,82 %",1120375,"7,69 %",,4647410,2048044,"99,10 %",6695454,"16,73 %",,4628882,"69,13 %","24,20 %",2066572,"30,87 %","44,65 %",6695454,0,2066572,1821172
VUKU BILSENTER AS,928009459,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",30,2023,47367937,42630305,4737632,"10,00 %",24996,8535,"0,03 %",16462,4754094,"10,04 %",3708002,"7,83 %",3708002,3178465,10197232,"110,56 %",13375697,"27,72 %",,4056939,"30,33 %","91,40 %",9318758,"69,67 %","229,70 %",13375697,95375,9223383,1578931
VÆRNES BILPLEIE AS,917132089,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,3233533,3447269,-213736,"-6,61 %",1808,14907,"-0,41 %",-13099,-226835,"-7,02 %",-226835,"-7,02 %",,173877,382612,"49,23 %",556489,"-40,76 %",,-220665,"-39,65 %","102,80 %",777154,"139,65 %","-352,19 %",556489,0,777154,646707
VÅGSBYGD BILVERKSTED DRIFT AS,923544054,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,10369314,9805094,564220,"5,44 %",2752,817,"0,02 %",1935,566155,"5,46 %",442047,"4,26 %",442047,2987399,2141607,"97,13 %",5129006,"8,62 %",,2924154,"57,01 %","15,12 %",2204852,"42,99 %","75,40 %",5129006,0,2204852,1036931
WANG AS,959337381,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",7,2023,10163073,10767110,-604037,"-5,94 %",4657,184625,"-1,77 %",-179967,-784004,"-7,71 %",-784004,"-7,71 %",-784004,71159,8565846,"267,32 %",8637005,"-9,08 %",,4565982,"52,87 %","-17,17 %",4071023,"47,13 %","89,16 %",8637005,866664,3204359,1451868
WANGEN AUTO AS,997109686,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",10,2023,77842533,74298505,3544028,"4,55 %",3429,100478,"-0,12 %",-97049,3446979,"4,43 %",2688826,"3,45 %",2688826,1391045,11926130,"342,50 %",13317176,"20,19 %",,9834251,"73,85 %","27,34 %",3482924,"26,15 %","35,42 %",13317176,882,3482042,7784253
WASHLAND ALNABRU AS,917215219,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,5034099,3517534,1516565,"30,13 %",216,17466,"-0,34 %",-17250,1499315,"29,78 %",1169466,"23,23 %",,1764286,970968,"27,64 %",2735254,"42,76 %",,-819195,"-29,95 %","-142,76 %",3554449,"129,95 %","-433,90 %",2735254,42082,3512367,419508
WASHLAND AS,913828461,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,5487386,5448701,38685,"0,70 %",35,710510,"-12,95 %",-710475,-671790,"-12,24 %",-671790,"-12,24 %",,6071197,1924912,"78,94 %",7996110,"-8,40 %",,-17682,"-0,22 %","3799,29 %",8013792,"100,22 %","-45321,75 %",7996110,5575200,2438592,1097477
WATHNE LAST OG BUSS AS,993309680,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",13,2023,51551848,50100326,1451522,"2,82 %",12610,610428,"-1,16 %",-597818,853704,"1,66 %",658850,"1,28 %",658850,8632359,21249424,"132,77 %",29881783,"2,20 %",,5994461,"20,06 %","10,99 %",23887322,"79,94 %","398,49 %",29881783,7882769,16004553,3965527
WERKSTA NORWAY AS,880252372,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",295,2023,117053259,125133662,-8080403,"-6,90 %",15179,1387350,"-1,17 %",-1372171,-9452574,"-8,08 %",-7379937,"-6,30 %",,31324991,31059780,"68,62 %",62384771,"-11,83 %",,17118620,"27,44 %","-43,11 %",45266151,"72,56 %","264,43 %",62384771,0,45266151,396791
WESTERN BILGUMMI AS,951814660,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",12,2023,26576964,24833233,1743732,"6,56 %",97466,2434,"0,36 %",95032,1838764,"6,92 %",1410570,"5,31 %",1410570,421443,15000153,"236,96 %",15421596,"9,15 %",,9091440,"58,95 %","15,52 %",6330156,"41,05 %","69,63 %",15421596,0,6330156,2214747
WEST-MASKIN AS,926043129,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,8819623,8848447,-28824,"-0,33 %",4636,86342,"-0,93 %",-81706,-110530,"-1,25 %",-110530,"-1,25 %",,728551,1735674,"137,34 %",2464225,"-4,49 %",,213134,"8,65 %","-51,86 %",2251091,"91,35 %","1056,19 %",2464225,987271,1263820,1102453
